key,entry_type,author,title,abstract,address,annote,booktitle,doi,editor,file,institution,isbn,issn,journal,keywords,language,month,note,number,pages,publisher,shorttitle,type,url,urldate,volume,year,use_case,technology,pubType,relevant,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
aljuaydi_multivariate_2023,article,"Aljuaydi, Fahad and Wiwatanapataphee, Benchawan and Wu, Yong Hong",Multivariate machine learning-based prediction models of freeway traffic flow under non-recurrent events,"This paper concerns multivariate machine learning-based prediction models of freeway trafﬁc ﬂow under non-recurrent events. Five model architectures based on the multi-layer perceptron (MLP), convolutional neural network (CNN), long short-term memory (LSTM), CNN-LSTM and Autoencoder LSTM networks have been developed to predict trafﬁc ﬂow under a road crash and the rain. Using an input dataset with ﬁve features (the ﬂow rate, the speed, and the density, road incident and rainfall) and two standard metrics (the Root Mean Square error and the Mean Absolute error), models’ performance is evaluated.",,,,10.1016/j.aej.2022.10.015,,1-s2.0-S1110016822006640-main.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/2022/data/1-s2.0-S1110016822006640-main.pdf:application/pdf,,,11100168,Alexandria Engineering Journal,,en,feb,,,151--162,,,,https://linkinghub.elsevier.com/retrieve/pii/S1110016822006640,2023-06-25,65.0,2023.0,Traffic volume prediction,CNN-LSTM,article,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choi_network-wide_2018,article,"Choi, Seongjin and Yeo, Hwasoo and Kim, Jiwon",Network-Wide Vehicle Trajectory Prediction in Urban Traffic Networks using Deep Learning,"This paper proposes a deep learning approach to learning and predicting network-wide vehicle movement patterns in urban networks. Inspired by recent success in predicting sequence data using recurrent neural networks (RNN), specifically in language modeling that predicts the next words in a sentence given previous words, this research aims to apply RNN to predict the next locations in a vehicle’s trajectory, given previous locations, by viewing a vehicle trajectory as a sentence and a set of locations in a network as vocabulary in human language. To extract a finite set of ‘‘locations,’’ this study partitions the network into ‘‘cells,’’ which represent subregions, and expresses each vehicle trajectory as a sequence of cells. Using large amounts of Bluetooth vehicle trajectory data collected in Brisbane, Australia, this study trains an RNN model to predict cell sequences. It tests the model’s performance by computing the probability of correctly predicting the next k consecutive cells. Compared with a base-case model that relies on a simple transition matrix, the proposed RNN model shows substantially better prediction results. Network-level aggregate measures such as total cell visit count and intercell flow are also tested, and the RNN model is observed to be capable of replicating real-world traffic patterns.",,,,10.1177/0361198118794735,,Choi_Yeo_Kim_2018_TRR_trajectory_prediction_RNN.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/literatur_axel/Choi_Yeo_Kim_2018_TRR_trajectory_prediction_RNN.pdf:application/pdf,,,"0361-1981, 2169-4052",Transportation Research Record: Journal of the Transportation Research Board,,en,dec,,45.0,173--184,,,,http://journals.sagepub.com/doi/10.1177/0361198118794735,2023-06-18,2672.0,2018.0,Next location / final destination prediction,RNN,article,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhang_next_2022,inproceedings,"Zhang, Lu and Sun, Zhu and Wu, Ziqing and Zhang, Jie and Ong, Yew Soon and Qu, Xinghua",Next Point-of-Interest Recommendation with Inferring Multi-step Future Preferences,"Existing studies on next point-of-interest (POI) recommendation mainly attempt to learn user preference from the past and current sequential behaviors. They, however, completely ignore the impact of future behaviors on the decision-making, thus hindering the quality of user preference learning. Intuitively, users’ next POI visits may also be affected by their multi-step future behaviors, as users may often have activity planning in mind. To fill this gap, we propose a novel Context-aware Future Preference inference Recommender (CFPRec) to help infer user future preference in a selfensembling manner. In particular, it delicately derives multi-step future preferences from the learned past preference thanks to the periodic property of users’ daily check-ins, so as to implicitly mimic user’s activity planning before her next visit. The inferred future preferences are then seamlessly integrated with the current preference for more expressive user preference learning. Extensive experiments on three datasets demonstrate the superiority of CFPRec against state-of-the-arts.","Vienna, Austria",,Proceedings of the {Thirty}-{First} {International} {Joint} {Conference} on {Artificial} {Intelligence},10.24963/ijcai.2022/521,,0521.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/2022/data/0521.pdf:application/pdf,,978-1-956792-00-3,,,,en,jul,,,3751--3757,International Joint Conferences on Artificial Intelligence Organization,,,https://www.ijcai.org/proceedings/2022/521,2023-06-25,,2022.0,Next location / final destination prediction,"Transformer, LSTM",article,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
li_next_2018,inproceedings,"Li, Ranzhen and Shen, Yanyan and Zhu, Yanmin",Next Point-of-Interest Recommendation with Temporal and Multi-level Context Attention,"With the prosperity of the location-based social networks, next Point-of-Interest (POI) recommendation has become an important service and received much attention in recent years. The next POI is dynamically determined by the mobility pattern and various contexts associated with user check-in sequence. However, exploring spatial-temporal mobility patterns and incorporating heterogeneous contextual factors for recommendation are challenging issues to be resolved. In this paper, we introduce a novel neural network model named TMCA (Temporal and Multi-level Context Attention) for next POI recommendation. Our model employs the LSTM-based encoder-decoder framework, which is able to automatically learn deep spatial-temporal representations for historical check-in activities and integrate multiple contextual factors using the embedding method in a uniﬁed manner. We further propose the temporal and multilevel context attention mechanisms to adaptively select relevant check-in activities and contextual factors for next POI preference prediction. Extensive experiments have been conducted using two real-world check-in datasets. The results verify (1) the superior performance of our proposed method in different evaluation metrics, compared with several state-of-the-art methods; and (2) the effectiveness of the temporal and multi-level context attention mechanisms on recommendation performance.",Singapore,,2018 {IEEE} {International} {Conference} on {Data} {Mining} ({ICDM}),10.1109/ICDM.2018.00144,,Next_Point-of-Interest_Recommendation_with_Temporal_and_Multi-level_Context_Attention.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/2022/data/Next_Point-of-Interest_Recommendation_with_Temporal_and_Multi-level_Context_Attention.pdf:application/pdf,,978-1-5386-9159-5,,,,en,nov,,,1110--1115,IEEE,,,https://ieeexplore.ieee.org/document/8594953/,2023-06-25,,2018.0,Next location / final destination prediction,LSTM,article,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fan_online_2022,misc,"Fan, Zipei and Yang, Xiaojie and Yuan, Wei and Jiang, Renhe and Chen, Quanjun and Song, Xuan and Shibasaki, Ryosuke",Online Trajectory Prediction for Metropolitan Scale Mobility Digital Twin,"Knowing ""what is happening"" and ""what will happen"" of the mobility in a city is the building block of a data-driven smart city system. In recent years, mobility digital twin that makes a virtual replication of human mobility and predicting or simulating the fine-grained movements of the subjects in a virtual space at a metropolitan scale in near real-time has shown its great potential in modern urban intelligent systems. However, few studies have provided practical solutions. The main difficulties are four-folds. 1) The daily variation of human mobility is hard to model and predict; 2) the transportation network enforces a complex constraints on human mobility; 3) generating a rational fine-grained human trajectory is challenging for existing machine learning models; and 4) making a fine-grained prediction incurs high computational costs, which is challenging for an online system. Bearing these difficulties in mind, in this paper we propose a two-stage human mobility predictor that stratifies the coarse and fine-grained level predictions. In the first stage, to encode the daily variation of human mobility at a metropolitan level, we automatically extract citywide mobility trends as crowd contexts and predict long-term and long-distance movements at a coarse level. In the second stage, the coarse predictions are resolved to a fine-grained level via a probabilistic trajectory retrieval method, which offloads most of the heavy computations to the offline phase. We tested our method using a real-world mobile phone GPS dataset in the Kanto area in Japan, and achieved good prediction accuracy and a time efficiency of about 2 min in predicting future 1h movements of about 220K mobile phone users on a single machine to support more higher-level analysis of mobility prediction.",,,,,,2207.03575.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/literatur_axel/2207.03575.pdf:application/pdf,,,,,"Computer Science - Artificial Intelligence, Computer Science - Social and Information Networks",en,jun,arXiv:2207.03575 [cs],,,arXiv,,,http://arxiv.org/abs/2207.03575,2023-06-18,,2022.0,Traffic volume prediction,GRU,arxiv,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guo_optimized_2021,article,"Guo, Kan and Hu, Yongli and Qian, Zhen and Liu, Hao and Zhang, Ke and Sun, Yanfeng and Gao, Junbin and Yin, Baocai",Optimized Graph Convolution Recurrent Neural Network for Traffic Prediction,"Trafﬁc prediction is a core problem in the intelligent transportation system and has broad applications in the transportation management and planning, and the main challenge of this ﬁeld is how to efﬁciently explore the spatial and temporal information of trafﬁc data. Recently, various deep learning methods, such as convolution neural network (CNN), have shown promising performance in trafﬁc prediction. However, it samples trafﬁc data in regular grids as the input of CNN, thus it destroys the spatial structure of the road network. In this paper, we introduce a graph network and propose an optimized graph convolution recurrent neural network for trafﬁc prediction, in which the spatial information of the road network is represented as a graph. Additionally, distinguishing with most current methods using a simple and empirical spatial graph, the proposed method learns an optimized graph through a data-driven way in the training phase, which reveals the latent relationship among the road segments from the trafﬁc data. Lastly, the proposed method is evaluated on three real-world case studies, and the experimental results show that the proposed method outperforms state-of-the-art trafﬁc prediction methods.",,,,10.1109/TITS.2019.2963722,,Optimized_Graph_Convolution_Recurrent_Neural_Network_for_Traffic_Prediction.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/2022/data/Optimized_Graph_Convolution_Recurrent_Neural_Network_for_Traffic_Prediction.pdf:application/pdf,,,"1524-9050, 1558-0016",IEEE Transactions on Intelligent Transportation Systems,,en,feb,,2.0,1138--1149,,,,https://ieeexplore.ieee.org/document/8959420/,2023-06-25,22.0,2021.0,Traffic volume prediction,Graph Convolution Recurrent Neural Network,journal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wu_personalized_2022,article,"Wu, Yuxia and Li, Ke and Zhao, Guoshuai and Qian, Xueming",Personalized Long- and Short-term Preference Learning for Next POI Recommendation,"Next POI recommendation has been studied extensively in recent years. The goal is to recommend next POI for users at speciﬁc time given users’ historical check-in data. Therefore, it is crucial to model both users’ general taste and recent sequential behaviors. Moreover, different users show different dependencies on the two parts. However, most existing methods learn the same dependencies for different users. Besides, the locations and categories of POIs contain different information about users’ preference. However, current researchers always treat them as the same factors or believe that categories determine where to go. To this end, we propose a novel method named Personalized Long- and Short-term Preference Learning (PLSPL) to learn the speciﬁc preference for each user. Specially, we combine the long- and short-term preference via user-based linear combination unit to learn the personalized weights on different parts for different users. Besides, the context information such as the category and check-in time is also essential to capture users’ preference. Therefore, in long-term module, we consider the contextual features of POIs in users’ history records and leverage attention mechanism to capture users’ preference. In the short-term module, to better learn the different inﬂuences of locations and categories of POIs, we train two LSTM models for location- and category-based sequence, respectively. Then we evaluate the proposed model on two real-world datasets. The experiment results demonstrate that our method outperforms the state-of-art approaches for next POI recommendation.",,,,10.1109/TKDE.2020.3002531,,Personalized_Long-_and_Short-term_Preference_Learning_for_Next_POI_Recommendation.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/2022/data/Personalized_Long-_and_Short-term_Preference_Learning_for_Next_POI_Recommendation.pdf:application/pdf,,,"1041-4347, 1558-2191, 2326-3865",IEEE Transactions on Knowledge and Data Engineering,,en,apr,,4.0,1944--1957,,,,https://ieeexplore.ieee.org/document/9117156/,2023-06-25,34.0,2022.0,Next location / final destination prediction,LSTM,journal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chen_predicting_2020,article,"Chen, Jianwei and Li, Jianbo and Li, Ying",Predicting Human Mobility via Long Short-Term Patterns,"Predicting human mobility has great signiﬁcance in Location based Social Network applications, while it is challenging due to the impact of historical mobility patterns and current trajectories. Among these challenges, historical patterns tend to be crucial in the prediction task. However, it is difﬁcult to capture complex patterns from long historical trajectories. Motivated by recent success of Convolutional Neural Network (CNN)-based methods, we propose a Union ConvGRU (UCG) Net, which can capture long short-term patterns of historical trajectories and sequential impact of current trajectories. Speciﬁcally, we ﬁrst incorporate historical trajectories into hidden states by a shared-weight layer, and then utilize a 1D CNN to capture short-term pattern of hidden states. Next, an average pooling method is involved to generate separated hidden states of historical trajectories, on which we use a Fully Connected (FC) layer to capture longterm pattern subsequently. Finally, we use a Recurrent Neural Net-work (RNN) to predict future trajectories by integrating current trajectories and long short-term patterns. Experiments demonstrate that UCG Net performs best in comparison with neural network-based methods.",,,,10.32604/cmes.2020.010240,,s5.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/2022/data/s5.pdf:application/pdf,,,1526-1506,Computer Modeling in Engineering \& Sciences,,en,,,3.0,847--864,,,,http://www.techscience.com/CMES/v124n3/39914,2023-06-25,124.0,2020.0,Next location / final destination prediction,"CNN, RNN",article,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anne_prediction_2022,inproceedings,"Anne, Dwina and {Suhardi} and Muhamad, Wardani",Prediction of Ship Track Anomaly based on AIS data using Long Short-Term Memory (LSTM) and DBSCAN,"Anomaly is defined as an event or behaviour that deviates. Anomaly behaviour often carried out by ships sailing in Indonesian waters is to turn off AIS for a very long time. Ship identification is challenging for maritime inspectors to detect if the ship frequently turns off AIS during the voyage. Based on these problems, the researcher proposes to predict the ship's trajectory using historical AIS data. It is possible to predict ship trajectories based on AIS data to determine the trajectory of ships that turn off AIS. The results of the AIS trajectory are combined with the ship's trajectory, in general, to determine the trajectory with the ship's trajectory in general. A predicted ship trajectory that is not the same as the general route will be identified as an anomaly. Long Short Term Memory is proposed to predict ship trajectory using latitude, longitude, speed, and time parameters. LSTM modelling with four hidden layers, determining the batch size of 25, optimizing adam, epoch worth 100, and the loss function using the mean squared error. DBSCAN clustering is used to determine the trajectory with ship trajectories in general. The platform design is the ship trajectory in this study using the CRISP-DM methodology. This study evaluates the MAE and MSE values. The data used in this study is data on ships passing through ALKI 1 in JulySeptember 2022. From this data, data on ships moving from Singapore to Tanjung Priok Jakarta are taken. The test results show that the algorithm performs well, with an MAE value of 0.0667 and an MSE of 0.0091.","Bandung, Indonesia",,2022 {International} {Conference} on {Information} {Technology} {Systems} and {Innovation} ({ICITSI}),10.1109/ICITSI56531.2022.9970940,,Prediction_of_Ship_Track_Anomaly_based_on_AIS_data_using_Long_Short-Term_Memory_LSTM_and_DBSCAN.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/2022/data/Prediction_of_Ship_Track_Anomaly_based_on_AIS_data_using_Long_Short-Term_Memory_LSTM_and_DBSCAN.pdf:application/pdf,,978-1-66546-555-7,,,,en,nov,,,107--112,IEEE,,,https://ieeexplore.ieee.org/document/9970940/,2023-06-25,,2022.0,Anomaly detection,LSTM,article,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capobianco_recurrent_2022,misc,"Capobianco, Samuele and Forti, Nicola and Millefiori, Leonardo M. and Braca, Paolo and Willett, Peter",Recurrent Encoder-Decoder Networks for Vessel Trajectory Prediction with Uncertainty Estimation,"Recent deep learning methods for vessel trajectory prediction are able to learn complex maritime patterns from historical Automatic Identiﬁcation System (AIS) data and accurately predict sequences of future vessel positions with a prediction horizon of several hours. However, in maritime surveillance applications, reliably quantifying the prediction uncertainty can be as important as obtaining high accuracy. This paper extends deep learning frameworks for trajectory prediction tasks by exploring how recurrent encoder-decoder neural networks can be tasked not only to predict but also to yield a corresponding prediction uncertainty via Bayesian modeling of epistemic and aleatoric uncertainties. We compare the prediction performance of two different models based on labeled or unlabeled input data to highlight how uncertainty quantiﬁcation and accuracy can be improved by using, if available, additional information on the intention of the ship (e.g., its planned destination).",,"Comment: 10 pages, 6 figures",,,,2205.05404.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/literatur_axel/2205.05404.pdf:application/pdf,,,,,Computer Science - Computer Vision and Pattern Recognition,en,may,arXiv:2205.05404 [cs],,,arXiv,,,http://arxiv.org/abs/2205.05404,2023-06-18,,2022.0,Trajectory prediction/imputation,recurrent encoder-decoder neural networks,arxiv,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wang_shgcn_2022,inproceedings,"Wang, Yi and Zhu, Di",SHGCN: a hypergraph-based deep learning model for spatiotemporal traffic flow prediction,"Traffic flow prediction, as one of the prominent tasks in intelligent transportation systems, is challenging due to underlying complex spatiotemporal characteristics. Consideration of historical spatial and temporal dependencies is essential for the traffic prediction of a geographic unit for a future time period. Existing works mainly adopted graphs to represent the irregular layout of spatial units, where nodes are signal of spatial units and edges are link strengths between units. For contemporary deep learning based spatiotemporal prediction tasks, the temporal dependence can be well modeled via convolution neural network or recurrent neural network, and spatial dependence features are commonly captured using graph convolution networks. However, classic graph structures cannot fully represent the complex nature of spatial relationships in transportation networks, because the spatial pattern of a location might be influenced by multiple sets of contextual information simultaneously, while a graph edge can only describe the linkage between two nodes. In addition, most existing models ignore the synchronous dependence between temporal and spatial features, leading to a mismatch between the temporal and spatial features of a location. Based on such problems, a hypergraph-based deep learning model, namely synchronous hypergraph convolutional network (SHGCN), is proposed to better capture the complex relationships between spatial and temporal knowledge. A novel synchronous hypergraph cell (SH-Cell) is designed based on LSTM cells integrated in the form of a Seq2seq architecture. Then, we construct dynamic hypergraphs to capture the synchronous spatiotemporal dependence adaptively using SH-Cells. Experimental results demonstrate the superiority of SHGCN over well-known benchmarks on two real-world publicly-available traffic datasets. This research provides new insights for improving the traffic flow prediction accuracy and understanding complex spatiotemporal relationships towards a more reliable urban traffic management.",Seattle Washington,,Proceedings of the 5th {ACM} {SIGSPATIAL} {International} {Workshop} on {AI} for {Geographic} {Knowledge} {Discovery},10.1145/3557918.3565866,,3557918.3565866.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/2022/data/3557918.3565866.pdf:application/pdf,,978-1-4503-9532-8,,,,en,nov,,,30--39,ACM,{SHGCN},,https://dl.acm.org/doi/10.1145/3557918.3565866,2023-06-25,,2022.0,Traffic volume prediction,LSTM,article,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luo_stan_2021,inproceedings,"Luo, Yingtao and Liu, Qiang and Liu, Zhaocheng",STAN: Spatio-Temporal Attention Network for Next Location Recommendation,"The next location recommendation is at the core of various locationbased applications. Current state-of-the-art models have attempted to solve spatial sparsity with hierarchical gridding and model temporal relation with explicit time intervals, while some vital questions remain unsolved. Non-adjacent locations and non-consecutive visits provide non-trivial correlations for understanding a user’s behavior but were rarely considered. To aggregate all relevant visits from user trajectory and recall the most plausible candidates from weighted representations, here we propose a Spatio-Temporal Attention Network (STAN) for location recommendation. STAN explicitly exploits relative spatiotemporal information of all the checkins with self-attention layers along the trajectory. This improvement allows a point-to-point interaction between non-adjacent locations and non-consecutive check-ins with explicit spatio-temporal effect. STAN uses a bi-layer attention architecture that firstly aggregates spatiotemporal correlation within user trajectory and then recalls the target with consideration of personalized item frequency (PIF). By visualization, we show that STAN is in line with the above intuition. Experimental results unequivocally show that our model outperforms the existing state-of-the-art methods by 9-17\%.",Ljubljana Slovenia,,Proceedings of the {Web} {Conference} 2021,10.1145/3442381.3449998,,3442381.3449998.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/2022/data/3442381.3449998.pdf:application/pdf,,978-1-4503-8312-7,,,,en,apr,,,2177--2185,ACM,{STAN},,https://dl.acm.org/doi/10.1145/3442381.3449998,2023-06-25,,2021.0,Next location / final destination prediction,Spatio-Temporal Attention Network,article,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhang_strans-gan_2022,inproceedings,"Zhang, Yingxue and Li, Yanhua and Zhou, Xun and Kong, Xiangnan and Luo, Jun",STrans-GAN: Spatially-Transferable Generative Adversarial Networks for Urban Traffic Estimation,"Conditional trafﬁc estimation is a vital problem in urban plan deployment, which can help evaluate urban construction plans and improve transportation efﬁciency. Conventional methods for conditional trafﬁc estimation usually focus on supervised settings, which require a large amount of labeled training data. However, in many urban planning applications, the large amount of trafﬁc data in a new city can be hard or impossible to acquire. To tackle the conditional trafﬁc estimation problem in data scarcity situations, we formulate the problem as a spatial transfer generative learning problem. Compared to prior spatial transfer learning frameworks with only single source city, we propose to extracts knowledge from multiple source cities to improve the estimation accuracy and transfer stability, which is a technically more challenging task. As a solution, we propose a new cross-city conditional trafﬁc estimation method — SpatiallyTransferable Generative Adversarial Networks (STrans-GAN) with novel pre-training and ﬁne-tuning algorithms. STransGAN preserves diverse trafﬁc patterns from multiple source cities through trafﬁc clustering, and incorporates meta-learning idea into the pre-training process to learn a well-generalized model. During ﬁne-tuning, we propose to add a cluster matching regularizer to realize the ﬂexible adaptation in different scenarios. Through extensive experiments on multiple-city datasets, the effectiveness of STrans-GAN is proved.","Orlando, FL, USA",,2022 {IEEE} {International} {Conference} on {Data} {Mining} ({ICDM}),10.1109/ICDM54844.2022.00085,,STrans-GAN_Spatially-Transferable_Generative_Adversarial_Networks_for_Urban_Traffic_Estimation.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/literatur_axel/STrans-GAN_Spatially-Transferable_Generative_Adversarial_Networks_for_Urban_Traffic_Estimation.pdf:application/pdf,,978-1-66545-099-7,,,,en,nov,,,743--752,IEEE,{STrans}-{GAN},,https://ieeexplore.ieee.org/document/10027643/,2023-06-18,,2022.0,Traffic volume prediction,Spatially-Transferable Generative Adversarial Networks,article,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
an_self-constructed_2023,article,"An, Jiyao and Zhao, Jin and Liu, Qingqin and Qian, Xinjiao and Chen, Jiali",Self-Constructed Deep Fuzzy Neural Network for Traffic Flow Prediction,"Trafﬁc ﬂow prediction is a critical component of intelligent transportation systems, especially in the prevention of trafﬁc congestion in urban areas. While signiﬁcant efforts have been devoted to enhancing the accuracy of trafﬁc prediction, the interpretability of trafﬁc prediction also needs to be considered to enhance persuasiveness, particularly in the era of deep-learning-based trafﬁc cognition. Although some studies have explored interpretable neural networks from the feature and result levels, model-level explanation, which explains the reasoning process of trafﬁc prediction through transparent models, remains underexplored and requires more attention. In this paper, we propose a novel self-constructed deep fuzzy neural network, SCDFNN, for trafﬁc ﬂow prediction with model interpretability. By leveraging recent advances in neuro-symbolic computation for automatic rule learning, SCDFNN learns interpretable human trafﬁc cognitive rules based on deep learning, incorporating two innovations: (1) a new fuzzy neural network hierarchical architecture constructed for spatial-temporal dependences in the trafﬁc feature domain; (2) a modiﬁed Wang–Mendel method used to fuse regional differences in trafﬁc data, resulting in adaptive fuzzy-rule weights without sacriﬁcing interpretability. Comprehensive experiments on well-known trafﬁc datasets demonstrate that the proposed approach is comparable to state-of-the-art deep models, and the SCDFNN’s unique hierarchical architecture allows for transparency.",,,,10.3390/electronics12081885,,electronics-12-01885.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/2022/data/electronics-12-01885.pdf:application/pdf,,,2079-9292,Electronics,,en,apr,,8.0,1885,,,,https://www.mdpi.com/2079-9292/12/8/1885,2023-06-25,12.0,2023.0,Traffic volume prediction,fuzzy neural network and spatio-temporal module,article,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lin_ship_2023,article,"Lin, Zu and Yue, Weiqi and Huang, Jie and Wan, Jian",Ship Trajectory Prediction Based on the TTCN-Attention-GRU Model,"As shipping continues to play an increasingly important role in world trade, there are consequently a large number of ships at sea at any given time, posing a risk to maritime trafﬁc safety. Therefore, the tracking and monitoring of ships at sea has gradually attracted the attention of scholars. Ship trajectory prediction comprises an important aspect of ship tracking and monitoring. Trajectory prediction describes the forecasting of a ship’s future trajectory over a period of time through use of historical trajectory information of the ship, so as to predict the sailing dynamics of the ship in advance. Accurate trajectory prediction can help maritime regulatory authorities improve supervision efﬁciency and reduce collisions between ships. Temporal Convolutional Network (TCN) offers good time memory ability and has shown better performance in time series prediction in recent years. Ship trajectory sequence belongs to the category of time series. Thus, in this paper, we introduce TCN into the ﬁeld of ship trajectory prediction and improve on it, and propose Tiered-TCN (TTCN). The attention mechanism is a way to help neural networks learn data features by highlighting features that have a greater impact on predicted values. Gate Recurrent Unit (GRU) is an important variant of Recurrent Neural Networks (RNN), which bears a strong nonlinear ﬁtting ability. In this paper, TTCN, attention mechanism and GRU network are integrated to construct a hybrid model for trajectory prediction, which is referred to as TTCN-Attention-GRU (TTAG). By optimizing the advantages of each module, the prediction effect is achieved with high precision. The experimental results show that the TTAG model is superior to all the baseline models presented in this paper.",,,,10.3390/electronics12122556,,electronics-12-02556.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/literatur_axel/electronics-12-02556.pdf:application/pdf,,,2079-9292,Electronics,,en,jun,,12.0,2556,,,,https://www.mdpi.com/2079-9292/12/12/2556,2023-06-18,12.0,2023.0,Trajectory prediction/imputation,TTCN-Attention-GRU,article,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
